Recettes,Ingrédients
Artichauts vinaigrette (pour bébé et toute la famille).html,"['2 à 4  artichaut(s)', '500 g pomme(s) de terre', '1 c. à café moutarde douce', '¼ tasse vinaigre', '½ tasse huile(s) végétale(s)', '1  citron', '1  échalote', 'qq brin(s) ciboulette']"
Asperges blanches et salade de pommes de terre.html,"['500 g asperge(s) blanche(s)', '500 g pomme(s) de terre', '1 tige(s) ciboule', '1 c. à café moutarde douce', '¼ tasse vinaigre', '½ tasse huile(s) végétale(s)', '½  citron(s)']"
Aubergines à la parmigiana.html,"['2  aubergine(s)', '400 g tomate(s)', '1  oignon(s)', '1 gousse ail', '1  mozzarella', '50 g parmesan', '  huile d’olive']"
Aumônières de légumes au saumon (Recette de Noël).html,"['4  crêpes', '200 g saumon', '1  poireau(x)', '1  carotte(s)', '1  navet(s)', '½ c. à café curry', '10 feuilles persil', '2 c. à soupe huile d’olive']"
Banana Brownie.html,"['300 g banane(s)', '3  oeuf(s)', ""90 g purée d'oléagineux"", '75 g farine', '45 mL lait', '35 g poudre de caroube', '1 c. à café levure', '1 poignée fruits à coque']"
Blanquette de veau (pour bébé et toute la famille).html,"['250 g veau', '250 g carotte(s)', '250 g champignons de Paris', '1 branche(s) céleri', '1  oignon(s)', '1  citron(s)', '150 g riz', '20 g farine', '20 cL crème liquide', '1 branche(s) persil', '1 branche(s) thym', '1  feuille(s) de laurier']"
Blanquette végétarienne aux haricots blancs.html,"['250 g haricots blancs', '250 g champignons', '300 g carotte(s)', '1  poireau(x)', '1  oignon(s)', '1 gousse ail', '1  citron(s)', '10 cL crème entière', '  persil', '1 c. à soupe huile d’olive', '100 g riz']"
Bo-bun facile (aux nems maison).html,"['2  carotte(s)', '1  concombre', '1  sucrine', '100 g vermicelles de riz', '5  feuille(s) de riz', '1  oeuf(s)', '1 poignée cacahuètes', '  herbes aromatiques', '  gingembre', '1 c. à soupe purée de cacahuètes', '  vinaigre', '  huile(s) végétale(s)', '½  citron']"
Boulets à la liégeoise (revisités pour bébé et toute la famille).html,"['250 g haché de boeuf + porc', '1  oeuf(s)', '½  oignon(s)', '1 tranche(s) pain', '2 brin(s) persil', '20 g beurre', '100 mL lait', '3  pomme(s)', '½  oignon(s)', '1 c. à soupe raisins secs', '1  clou de girofle', '1  baie de genièvre', '1 branche(s) thym', '1  feuille(s) de laurier', '1 c. à soupe vinaigre', '200 g pomme(s) de terre', '200 g carotte(s)', '200 g céleri-rave', '2 c. à soupe huile d’olive']"
"Boulettes aux lentilles vertes, riz et butternut rôti.html","['½  butternut', '75 g riz', '75 g lentilles', '1 petit oignon', '1 c. à soupe farine', '  chapelure', '  cumin', '  huile d’olive']"
"Boulettes aux lentilles, champignons avoine (et sauce tomates).html","['250 g champignons de Paris', '1  oignon(s)', '1 gousse ail', '400 g tomates concassées', '125 g riz', '75 g lentilles vertes', ""50 g flocons d'avoine"", '  origan', ""  huile d'olive""]"
"Boulettes aux pois chiches, purée de carottes.html","['750 g carotte(s)', '180 g pois chiches', ""70 g flocons d'avoine"", '1  échalote(s)', '  épices', '  huile d’olive', '  huile(s) végétale(s)', '  herbes aromatiques']"
